file	prompt	negative
common/grass_leaf_shard.png	detailed 16-bit pixel art sprite, single centered subject, chunky readable pixels on a 64x64 logical grid, hard-edged colour clusters with no anti-aliasing, limited palette, hand-placed dithering for every gradient, light source from the upper left, crisp one-pixel rim light along the lower-right contour, one-pixel outline in a darker shade of the subject's own hue and never pure black, fully transparent background, no ground, no frame, no border, no text, three-quarter orthographic view, retro SNES monster-card illustration, crisp and legible at thumbnail size, a single translucent shard shaped like a broken leaf, jagged bite taken out of one edge, glowing veins branching through the interior like leaf ribs, floating upright at a slight tilt, three tiny motes drifting off the broken edge, simple flat silhouette, calm pose, minimal effects, 5 to 7 colours, palette built around #9EE6B8 #4ADE80 #22C55E #15803D #09451F	photorealistic, 3d render, octane, blurry, soft focus, anti-aliased edges, smooth gradients, airbrush, jpeg artifacts, noise, text, letters, numbers, watermark, signature, logo, UI elements, card frame, border, nameplate, drop shadow, white background, grey background, checkerboard background, multiple subjects, collage, cropped, out of frame, extra limbs, deformed anatomy, firearms, modern clothing, existing franchise character, recognisable game mascot, anime screenshot
common/water_water_drop.png	detailed 16-bit pixel art sprite, single centered subject, chunky readable pixels on a 64x64 logical grid, hard-edged colour clusters with no anti-aliasing, limited palette, hand-placed dithering for every gradient, light source from the upper left, crisp one-pixel rim light along the lower-right contour, one-pixel outline in a darker shade of the subject's own hue and never pure black, fully transparent background, no ground, no frame, no border, no text, three-quarter orthographic view, retro SNES monster-card illustration, crisp and legible at thumbnail size, a single large water droplet held in mid-air, perfect teardrop profile with a pointed top, one crescent highlight on the upper-left curve, faint caustic ripples visible inside the body, a smaller satellite droplet below it, simple flat silhouette, calm pose, minimal effects, 5 to 7 colours, palette built around #BDD8F9 #60A5FA #3B82F6 #1D4ED8 #10359D	photorealistic, 3d render, octane, blurry, soft focus, anti-aliased edges, smooth gradients, airbrush, jpeg artifacts, noise, text, letters, numbers, watermark, signature, logo, UI elements, card frame, border, nameplate, drop shadow, white background, grey background, checkerboard background, multiple subjects, collage, cropped, out of frame, extra limbs, deformed anatomy, firearms, modern clothing, existing franchise character, recognisable game mascot, anime screenshot
common/fire_ember_shard.png	detailed 16-bit pixel art sprite, single centered subject, chunky readable pixels on a 64x64 logical grid, hard-edged colour clusters with no anti-aliasing, limited palette, hand-placed dithering for every gradient, light source from the upper left, crisp one-pixel rim light along the lower-right contour, one-pixel outline in a darker shade of the subject's own hue and never pure black, fully transparent background, no ground, no frame, no border, no text, three-quarter orthographic view, retro SNES monster-card illustration, crisp and legible at thumbnail size, an irregular lump of charcoal with rough chipped facets, a network of molten cracks glowing from within, the crack light strongest at the core and fading toward the edges, two embers lifting off the top surface, simple flat silhouette, calm pose, minimal effects, 5 to 7 colours, palette built around #FBCDD4 #FB7185 #EF4444 #B91C1C #7F0F0F	photorealistic, 3d render, octane, blurry, soft focus, anti-aliased edges, smooth gradients, airbrush, jpeg artifacts, noise, text, letters, numbers, watermark, signature, logo, UI elements, card frame, border, nameplate, drop shadow, white background, grey background, checkerboard background, multiple subjects, collage, cropped, out of frame, extra limbs, deformed anatomy, firearms, modern clothing, existing franchise character, recognisable game mascot, anime screenshot
common/thunder_spark_shard.png	detailed 16-bit pixel art sprite, single centered subject, chunky readable pixels on a 64x64 logical grid, hard-edged colour clusters with no anti-aliasing, limited palette, hand-placed dithering for every gradient, light source from the upper left, crisp one-pixel rim light along the lower-right contour, one-pixel outline in a darker shade of the subject's own hue and never pure black, fully transparent background, no ground, no frame, no border, no text, three-quarter orthographic view, retro SNES monster-card illustration, crisp and legible at thumbnail size, a solidified lightning bolt fragment, sharp zigzag silhouette made only of straight angular segments with no curves anywhere, faceted crystal surface, a thin arc of electricity crawling along one edge, simple flat silhouette, calm pose, minimal effects, 5 to 7 colours, palette built around #EEDFFC #C084FC #A855F7 #7E22CE #591495	photorealistic, 3d render, octane, blurry, soft focus, anti-aliased edges, smooth gradients, airbrush, jpeg artifacts, noise, text, letters, numbers, watermark, signature, logo, UI elements, card frame, border, nameplate, drop shadow, white background, grey background, checkerboard background, multiple subjects, collage, cropped, out of frame, extra limbs, deformed anatomy, firearms, modern clothing, existing franchise character, recognisable game mascot, anime screenshot
common/ice_ice_shard.png	detailed 16-bit pixel art sprite, single centered subject, chunky readable pixels on a 64x64 logical grid, hard-edged colour clusters with no anti-aliasing, limited palette, hand-placed dithering for every gradient, light source from the upper left, crisp one-pixel rim light along the lower-right contour, one-pixel outline in a darker shade of the subject's own hue and never pure black, fully transparent background, no ground, no frame, no border, no text, three-quarter orthographic view, retro SNES monster-card illustration, crisp and legible at thumbnail size, a cluster of three hexagonal ice prisms, one tall central column flanked by two shorter ones at opposing angles, flat facet planes catching the light, frost bloom creeping up from the base, a pale memory-like glow trapped deep inside, simple flat silhouette, calm pose, minimal effects, 5 to 7 colours, palette built around #C3F3F9 #67E8F9 #22D3EE #0891B2 #025B71	photorealistic, 3d render, octane, blurry, soft focus, anti-aliased edges, smooth gradients, airbrush, jpeg artifacts, noise, text, letters, numbers, watermark, signature, logo, UI elements, card frame, border, nameplate, drop shadow, white background, grey background, checkerboard background, multiple subjects, collage, cropped, out of frame, extra limbs, deformed anatomy, firearms, modern clothing, existing franchise character, recognisable game mascot, anime screenshot
common/rock_sand_shard.png	detailed 16-bit pixel art sprite, single centered subject, chunky readable pixels on a 64x64 logical grid, hard-edged colour clusters with no anti-aliasing, limited palette, hand-placed dithering for every gradient, light source from the upper left, crisp one-pixel rim light along the lower-right contour, one-pixel outline in a darker shade of the subject's own hue and never pure black, fully transparent background, no ground, no frame, no border, no text, three-quarter orthographic view, retro SNES monster-card illustration, crisp and legible at thumbnail size, a flat slab of layered sandstone lying at a slight angle, horizontal strata bands of alternating tone stacked through its thickness, one corner crumbling into loose grains, worn rounded edges, simple flat silhouette, calm pose, minimal effects, 5 to 7 colours, palette built around #F6D685 #FBBF24 #F59E0B #B45309 #733303	photorealistic, 3d render, octane, blurry, soft focus, anti-aliased edges, smooth gradients, airbrush, jpeg artifacts, noise, text, letters, numbers, watermark, signature, logo, UI elements, card frame, border, nameplate, drop shadow, white background, grey background, checkerboard background, multiple subjects, collage, cropped, out of frame, extra limbs, deformed anatomy, firearms, modern clothing, existing franchise character, recognisable game mascot, anime screenshot
common/grass_sprout.png	detailed 16-bit pixel art sprite, single centered subject, chunky readable pixels on a 64x64 logical grid, hard-edged colour clusters with no anti-aliasing, limited palette, hand-placed dithering for every gradient, light source from the upper left, crisp one-pixel rim light along the lower-right contour, one-pixel outline in a darker shade of the subject's own hue and never pure black, fully transparent background, no ground, no frame, no border, no text, three-quarter orthographic view, retro SNES monster-card illustration, crisp and legible at thumbnail size, a tiny humanoid sprout spirit standing upright, a smooth bean-shaped body, two broad leaves growing from the top of its head like a cap, stubby arms held out in curiosity, wide bright eyes looking slightly upward, soil still clinging to its feet, simple flat silhouette, calm pose, minimal effects, 5 to 7 colours, palette built around #9EE6B8 #4ADE80 #22C55E #15803D #09451F	photorealistic, 3d render, octane, blurry, soft focus, anti-aliased edges, smooth gradients, airbrush, jpeg artifacts, noise, text, letters, numbers, watermark, signature, logo, UI elements, card frame, border, nameplate, drop shadow, white background, grey background, checkerboard background, multiple subjects, collage, cropped, out of frame, extra limbs, deformed anatomy, firearms, modern clothing, existing franchise character, recognisable game mascot, anime screenshot
common/grass_vine_bug.png	detailed 16-bit pixel art sprite, single centered subject, chunky readable pixels on a 64x64 logical grid, hard-edged colour clusters with no anti-aliasing, limited palette, hand-placed dithering for every gradient, light source from the upper left, crisp one-pixel rim light along the lower-right contour, one-pixel outline in a darker shade of the subject's own hue and never pure black, fully transparent background, no ground, no frame, no border, no text, three-quarter orthographic view, retro SNES monster-card illustration, crisp and legible at thumbnail size, a segmented caterpillar with a body made of woven vine, oriented horizontally in a gentle wave, six small legs gripping a curling tendril, a trail of three glowing footprints fading behind it, tiny leaf sprouting from its tail segment, simple flat silhouette, calm pose, minimal effects, 5 to 7 colours, palette built around #9EE6B8 #4ADE80 #22C55E #15803D #09451F	photorealistic, 3d render, octane, blurry, soft focus, anti-aliased edges, smooth gradients, airbrush, jpeg artifacts, noise, text, letters, numbers, watermark, signature, logo, UI elements, card frame, border, nameplate, drop shadow, white background, grey background, checkerboard background, multiple subjects, collage, cropped, out of frame, extra limbs, deformed anatomy, firearms, modern clothing, existing franchise character, recognisable game mascot, anime screenshot
common/water_bubble_fish.png	detailed 16-bit pixel art sprite, single centered subject, chunky readable pixels on a 64x64 logical grid, hard-edged colour clusters with no anti-aliasing, limited palette, hand-placed dithering for every gradient, light source from the upper left, crisp one-pixel rim light along the lower-right contour, one-pixel outline in a darker shade of the subject's own hue and never pure black, fully transparent background, no ground, no frame, no border, no text, three-quarter orthographic view, retro SNES monster-card illustration, crisp and legible at thumbnail size, a round plump little fish seen from the side, oversized round eye, wide fan tail, small pectoral fin, blowing a rising column of four bubbles of decreasing size, a hint of a lakebed scene reflected inside the largest bubble, simple flat silhouette, calm pose, minimal effects, 5 to 7 colours, palette built around #BDD8F9 #60A5FA #3B82F6 #1D4ED8 #10359D	photorealistic, 3d render, octane, blurry, soft focus, anti-aliased edges, smooth gradients, airbrush, jpeg artifacts, noise, text, letters, numbers, watermark, signature, logo, UI elements, card frame, border, nameplate, drop shadow, white background, grey background, checkerboard background, multiple subjects, collage, cropped, out of frame, extra limbs, deformed anatomy, firearms, modern clothing, existing franchise character, recognisable game mascot, anime screenshot
common/water_jelly_baby.png	detailed 16-bit pixel art sprite, single centered subject, chunky readable pixels on a 64x64 logical grid, hard-edged colour clusters with no anti-aliasing, limited palette, hand-placed dithering for every gradient, light source from the upper left, crisp one-pixel rim light along the lower-right contour, one-pixel outline in a darker shade of the subject's own hue and never pure black, fully transparent background, no ground, no frame, no border, no text, three-quarter orthographic view, retro SNES monster-card illustration, crisp and legible at thumbnail size, a baby jellyfish, semi-transparent dome-shaped bell at the top, five short wavy tentacles trailing downward and outward, soft inner glow visible through the bell, drifting upward, simple flat silhouette, calm pose, minimal effects, 5 to 7 colours, palette built around #BDD8F9 #60A5FA #3B82F6 #1D4ED8 #10359D	photorealistic, 3d render, octane, blurry, soft focus, anti-aliased edges, smooth gradients, airbrush, jpeg artifacts, noise, text, letters, numbers, watermark, signature, logo, UI elements, card frame, border, nameplate, drop shadow, white background, grey background, checkerboard background, multiple subjects, collage, cropped, out of frame, extra limbs, deformed anatomy, firearms, modern clothing, existing franchise character, recognisable game mascot, anime screenshot
